,Vp,alpha,Te,x,ne,nm
0,3.98787,138.04578676079458,9.714749586065741,0.0,543042009154079.44,7.49646613978375e+16
1,3.2614,118.99187909191323,10.009034478271579,7.0,722839178366113.6,8.60119921150385e+16
2,3.20956,97.39273885073729,11.790801600507297,14.0,1071123845751517.6,1.0431968498607496e+17
3,3.04889,77.43095326771825,12.352582315988887,21.0,1608084887234224.2,1.245155457539572e+17
4,3.03023,63.033689338850095,12.148520843588745,28.0,2347822625387923.5,1.479919219914258e+17
5,3.62904,48.08871157334927,12.652202820775283,35.0,3635127373639283.5,1.7480859180332614e+17
6,3.57785,38.32419412027798,11.684973629574337,42.0,5418362938025779.0,2.0765439305101968e+17
7,4.23321,36.00546263638344,13.561440021196187,49.0,9074233382725878.0,3.2672197101555994e+17
8,3.51689,30.47235977046593,12.03980157733442,56.0,1.3852185367336342e+16,4.221087761206568e+17
9,4.08568,27.538729512729464,13.854452718419594,63.0,2.0497480345076064e+16,5.644745669155383e+17
10,5.31245,31.098822729415204,20.348465212615935,70.0,2.442432762882185e+16,7.595678352138886e+17
11,8.52675,38.18899021112539,34.999182613629074,77.0,2.696059754164758e+16,1.0295979956040708e+18
