Voltage (V),Current Second Derivative(A/V^2)
-37.2096,-1.12E-08
-36.4374,-4.75E-09
-35.6675,-1.27E-08
-34.9001,-1.12E-08
-34.1346,-1.39E-08
-33.3718,2.06E-08
-32.6119,4.25E-08
-31.8553,6.66E-08
-31.1014,7.79E-08
-30.3502,6.59E-08
-29.6018,6.69E-08
-28.8562,6.79E-08
-28.1136,8.85E-08
-27.3735,1.16E-07
-26.6359,1.28E-07
-25.9004,1.35E-07
-25.1675,1.40E-07
-24.4372,1.56E-07
-23.7095,1.99E-07
-22.9842,2.55E-07
-22.2614,3.19E-07
-21.5412,3.85E-07
-20.8233,4.45E-07
-20.1078,5.14E-07
-19.3947,5.97E-07
-18.6842,7.16E-07
-17.976,8.94E-07
-17.27,1.13E-06
-16.5657,1.45E-06
-15.8637,1.84E-06
-15.1639,2.32E-06
-14.4664,2.94E-06
-13.7705,3.71E-06
-13.0765,4.68E-06
-12.3845,5.83E-06
-11.6951,7.23E-06
-11.0084,8.93E-06
-10.324,1.10E-05
-9.64204,1.37E-05
-8.96274,1.68E-05
-8.28607,2.06E-05
-7.6119,2.50E-05
-6.93996,2.99E-05
-6.27052,3.53E-05
-5.60338,4.13E-05
-4.9387,4.82E-05
-4.27611,5.60E-05
-3.61611,6.51E-05
-2.9586,7.53E-05
-2.30405,8.69E-05
-1.65211,9.99E-05
-1.00295,0.000114591
-0.356364,0.000130974
0.287379,0.000147431
0.928518,0.000159166
1.56713,0.00016125
2.20349,0.000147446
2.83757,0.000117295
3.46951,7.39E-05
4.09949,2.54E-05
4.72767,-1.73E-05
5.35417,-4.87E-05
5.97916,-6.55E-05
6.60291,-7.21E-05
7.22554,-7.33E-05
7.84725,-7.22E-05
8.46814,-7.05E-05
9.08828,-6.70E-05
9.70755,-6.12E-05
10.3259,-5.23E-05
10.9432,-4.05E-05
11.5591,-2.83E-05
12.1732,-1.98E-05
12.7856,-1.87E-05
13.3963,-2.46E-05
14.0051,-3.42E-05
14.6121,-4.22E-05
15.2174,-4.43E-05
15.8214,-4.06E-05
16.4239,-3.21E-05
17.0251,-2.24E-05
17.625,-1.53E-05
18.2241,-1.29E-05
18.822,-1.67E-05
19.4186,-2.09E-05
20.0141,-2.26E-05
20.6084,-1.85E-05
21.2016,-1.28E-05
21.7937,-9.89E-06
22.3848,-1.15E-05
22.9746,-1.56E-05
23.563,-1.68E-05
24.1502,-1.43E-05
24.7361,-1.02E-05
25.3207,-1.10E-05
25.9038,-1.40E-05
26.4856,-1.99E-05
27.066,-1.81E-05
27.6452,-1.08E-05
28.2233,8.44E-07
28.8008,9.03E-06
29.3776,4.73E-06
29.9536,-4.89E-06
30.5288,-1.98E-05
